bytes,downloaded,file,key,pdf_url,relevance,resolved_url,sha256,status,status_detail,title,url,year
1676287,True,model_redo_v2/references/papers/2021_ft_transformer_2021.pdf,ft_transformer_2021,https://arxiv.org/pdf/2106.11959,Reference transformer baseline; now primarily a controlled comparator.,,f2faa32ffd8c15ed8534677f978dc02730fdbe1f94e9c9557ada6aa19163478d,NeurIPS 2021,existing_valid_pdf,Revisiting Deep Learning Models for Tabular Data,https://arxiv.org/abs/2106.11959,2021
643689,True,model_redo_v2/references/papers/2020_ngboost_2020.pdf,ngboost_2020,https://proceedings.mlr.press/v119/duan20a/duan20a.pdf,Distributional-regression benchmark for calibrated concentration uncertainty.,,ba05d460d20c43e5eba6538a6a9b01ad5ac72a8d9e0178a48ed29274fc0888be,ICML 2020,existing_valid_pdf,NGBoost: Natural Gradient Boosting for Probabilistic Prediction,https://proceedings.mlr.press/v119/duan20a.html,2020
1430567,True,model_redo_v2/references/papers/2019_cqr_2019.pdf,cqr_2019,https://arxiv.org/pdf/1905.03222,Finite-sample marginal uncertainty intervals around heterogeneous quantile models.,,e9483113d0563a6b274810c2ab70face7e876e06d4e7687b58d74ff07bdc9ee1,NeurIPS 2019,existing_valid_pdf,Conformalized Quantile Regression,https://arxiv.org/abs/1905.03222,2019
423685,True,model_redo_v2/references/papers/2019_conformal_covariate_shift_2019.pdf,conformal_covariate_shift_2019,https://arxiv.org/pdf/1904.06019,Basis for uncertainty calibration when deployment covariates differ from training.,,d80dba944a136e075bbfe281009152ce42041e0a455f68f73684ace83cfc3fed,NeurIPS 2019,existing_valid_pdf,Conformal Prediction Under Covariate Shift,https://arxiv.org/abs/1904.06019,2019
944176,True,model_redo_v2/references/papers/2020_group_dro_2020.pdf,group_dro_2020,https://arxiv.org/pdf/1911.08731,Worst-source training objective for unbalanced datasets and geographic groups.,,7342848c5921ff5cedf2c27a0f84e38c221c085a9ce28befd9208f2bb0fe36d6,ICLR 2020,existing_valid_pdf,Distributionally Robust Neural Networks for Group Shifts: On the Importance of Regularization for Worst-Case Generalization,https://arxiv.org/abs/1911.08731,2020
22135471,True,model_redo_v2/references/papers/2021_wilds_2021.pdf,wilds_2021,https://arxiv.org/pdf/2012.07421,"Evaluation design for realistic source, geographic and temporal distribution shifts.",,35e7bc2db39b1890ce60ffc1dec9ed6b83f87f2bcf6d8501610010442a52f581,ICML 2021,existing_valid_pdf,WILDS: A Benchmark of in-the-Wild Distribution Shifts,https://arxiv.org/abs/2012.07421,2021
0,False,model_redo_v2/references/papers/2024_inland_habs_2024.pdf,inland_habs_2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC11849997/pdf/nihms-2041063.pdf,"Domain review connecting nutrients, climate, hydrology, monitoring and toxin risk.",,,Nature Reviews Earth & Environment,failed: HTTPError: 403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/PMC11849997/pdf/nihms-2041063.pdf,Harmful algal blooms in inland waters,https://doi.org/10.1038/s43017-024-00578-2,2024
0,False,model_redo_v2/references/papers/2019_microcystin_multisource_2019.pdf,microcystin_multisource_2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC7147962/pdf/nihms-1585874.pdf,Direct domain evidence that combining data sources can improve toxin models while requiring source-aware evaluation.,,,Harmful Algae,failed: HTTPError: 403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/PMC7147962/pdf/nihms-1585874.pdf,Combining national and state data improves predictions of microcystin concentration,https://doi.org/10.1016/j.hal.2019.02.009,2019
0,False,model_redo_v2/references/papers/2025_microcystin_rf_2025.pdf,microcystin_rf_2025,https://www.mdpi.com/2073-4441/17/16/2361/pdf,"Recent task-specific tree-model study; useful for feature hypotheses, not a universal architecture ranking.",,,Water,failed: HTTPError: 403 Client Error: Forbidden for url: https://www.mdpi.com/2073-4441/17/16/2361/pdf,Investigating the Relationship Between Microcystin Concentrations and Water Quality Parameters in Three Agricultural Irrigation Ponds Using Random Forest,https://doi.org/10.3390/w17162361,2025
0,False,model_redo_v2/references/papers/2025_global_bloom_frequency_2025.pdf,global_bloom_frequency_2025,https://academic.oup.com/nsr/article-pdf/12/6/nwaf011/63103531/nwaf011.pdf,Recent global remote-sensing evidence; supports satellite/seasonal context as a separate feature panel.,,,National Science Review,failed: HTTPError: 403 Client Error: Forbidden for url: https://academic.oup.com/nsr/article-pdf/12/6/nwaf011/63103531/nwaf011.pdf,Global elevation of algal bloom frequency in large lakes over the past two decades,https://doi.org/10.1093/nsr/nwaf011,2025
